time,value,MA,PRICE
1520294400000,59,11526,11526
1520380800000,48,11127,10728
1520467200000,45,10751,10000
1520553600000,43,10419,9421
1520640000000,42,10190,9276
1520726400000,42,9974,8891
1520812800000,42,9908,9512
1520899200000,42,9823,9233
1520985600000,41,9756,9217
1521072000000,41,9611,8307
1521158400000,40,9497,8359
1521244800000,37,9224,8520
1521331200000,37,8982,8063
1521417600000,36,8820,8218
1521504000000,36,8749,8641
1521590400000,35,8717,8927
1521676800000,35,8724,8970
1521763200000,34,8654,8736
1521849600000,33,8617,8825
1521936000000,32,8563,8621
1522022400000,32,8578,8479
1522108800000,31,8562,8186
1522195200000,31,8500,7837
1522281600000,30,8488,7931
1522368000000,28,8389,7127
1522454400000,26,8231,6897
1522540800000,24,8053,6975
1522627200000,22,7859,6837
1522713600000,21,7709,7080
1522800000000,21,7585,7464
1522886400000,19,7423,6845
1522972800000,18,7276,6855
1523059200000,18,7134,6629
1523145600000,17,7048,6884
1523232000000,18,6962,6985
1523318400000,18,6930,6778
1523404800000,18,6924,6829
1523491200000,19,6919,6925
1523577600000,20,7010,7836
1523923200000,20,7097,8031
1524009600000,20,7134,7874
1524096000000,21,7248,8097
1524182400000,22,7377,8277
1524268800000,23,7547,8499
1524355200000,24,7728,8878
1524441600000,25,7891,8769
1524528000000,26,8082,8881
1524614400000,30,8344,9716
1524700800000,32,8517,8825
1524787200000,35,8643,9222
1524873600000,38,8726,8940
1524960000000,41,8851,9250
1525046400000,44,8962,9326
1525132800000,47,9046,9198
1525219200000,49,9094,9024
1525305600000,51,9116,9123
1525392000000,53,9187,9551
1525478400000,57,9255,9635
1525564800000,57,9260,9766
1525651200000,58,9329,9584
1525737600000,58,9337,9308
1525824000000,58,9356,9150
1525910400000,58,9356,9249
1525996800000,57,9323,8970
1526083200000,56,9251,8406
1526169600000,55,9202,8481
1526256000000,53,9162,8684
1526342400000,52,9084,8697
1526428800000,49,8979,8473
1526515200000,46,8849,8343
1526601600000,44,8711,8056
1526688000000,41,8610,8203
1526774400000,39,8522,8181
1526860800000,37,8449,8443
1526947200000,36,8393,8355
1527033600000,35,8357,8009
1527120000000,33,8273,7556
1527206400000,32,8171,7563
1527292800000,30,8060,7472
1527379200000,29,7956,7329
1527465600000,28,7863,7327
1527552000000,27,7777,7111
1527638400000,27,7709,7451
