,timestamp,value,price,value_classification
0,1524528000000                                     ,29,8881.3916015625,Fear                                              
1,1524614400000                                     ,64,9716.490234375,Greed                                             
2,1524700800000                                     ,47,8825.2021484375,Neutral                                           
3,1524787200000                                     ,55,9221.8681640625,Greed                                             
4,1524873600000                                     ,54,8940.380859375,Neutral                                           
5,1524960000000                                     ,61,9249.6591796875,Greed                                             
6,1525046400000                                     ,59,9325.62890625,Greed                                             
7,1525132800000                                     ,56,9198.189453125,Greed                                             
8,1525219200000                                     ,52,9024.3876953125,Neutral                                           
9,1525305600000                                     ,55,9122.6533203125,Greed                                             
10,1525392000000                                     ,56,9551.134765625,Greed                                             
11,1525478400000                                     ,63,9634.5380859375,Greed                                             
12,1525564800000                                     ,67,9766.244140625,Greed                                             
13,1525651200000                                     ,56,9583.8720703125,Greed                                             
14,1525737600000                                     ,62,9308.2646484375,Greed                                             
15,1525824000000                                     ,53,9149.517578125,Neutral                                           
16,1525910400000                                     ,63,9248.9599609375,Greed                                             
17,1525996800000                                     ,41,8969.9404296875,Fear                                              
18,1526083200000                                     ,44,8405.560546875,Fear                                              
19,1526169600000                                     ,40,8480.580078125,Fear                                              
20,1526256000000                                     ,40,8683.986328125,Fear                                              
21,1526342400000                                     ,40,8696.9736328125,Fear                                              
22,1526428800000                                     ,32,8473.3486328125,Fear                                              
23,1526515200000                                     ,31,8343.125,Fear                                              
24,1526601600000                                     ,37,8056.05322265625,Fear                                              
25,1526688000000                                     ,31,8202.8251953125,Fear                                              
26,1526774400000                                     ,32,8180.626953125,Fear                                              
27,1526860800000                                     ,41,8443.259765625,Fear                                              
28,1526947200000                                     ,30,8354.99609375,Fear                                              
29,1527033600000                                     ,26,8009.29931640625,Fear                                              
30,1527120000000                                     ,27,7556.31591796875,Fear                                              
31,1527206400000                                     ,25,7563.435546875,Extreme Fear                                      
32,1527292800000                                     ,23,7472.0224609375,Extreme Fear                                      
33,1527379200000                                     ,19,7328.87158203125,Extreme Fear                                      
34,1527465600000                                     ,22,7326.64404296875,Extreme Fear                                      
35,1527552000000                                     ,16,7111.06884765625,Extreme Fear                                      
36,1527638400000                                     ,38,7451.23095703125,Fear                                              
37,1527724800000                                     ,25,7380.8515625,Extreme Fear                                      
38,1527811200000                                     ,24,7460.1669921875,Extreme Fear                                      
39,1527897600000                                     ,27,7487.076171875,Fear                                              
40,1527984000000                                     ,40,7567.5126953125,Fear                                              
41,1528070400000                                     ,41,7639.87939453125,Fear                                              
42,1528156800000                                     ,26,7463.65478515625,Fear                                              
43,1528243200000                                     ,42,7569.01123046875,Fear                                              
44,1528329600000                                     ,38,7605.57861328125,Fear                                              
45,1528416000000                                     ,40,7613.77734375,Fear                                              
46,1528502400000                                     ,39,7561.166015625,Fear                                              
47,1528588800000                                     ,24,7415.00146484375,Extreme Fear                                      
48,1528675200000                                     ,15,6767.49951171875,Extreme Fear                                      
49,1528761600000                                     ,19,6880.1337890625,Extreme Fear                                      
50,1528848000000                                     ,19,6581.828125,Extreme Fear                                      
51,1528934400000                                     ,17,6334.09912109375,Extreme Fear                                      
52,1529020800000                                     ,26,6644.720703125,Fear                                              
53,1529107200000                                     ,22,6406.80712890625,Extreme Fear                                      
54,1529193600000                                     ,23,6478.81591796875,Extreme Fear                                      
55,1529280000000                                     ,27,6418.85009765625,Fear                                              
56,1529366400000                                     ,32,6677.533203125,Fear                                              
57,1529452800000                                     ,34,6708.681640625,Fear                                              
58,1529539200000                                     ,37,6714.37548828125,Fear                                              
59,1529625600000                                     ,28,6690.83203125,Fear                                              
60,1529712000000                                     ,17,6088.57958984375,Extreme Fear                                      
61,1529798400000                                     ,15,6169.4375,Extreme Fear                                      
62,1529884800000                                     ,16,6159.70703125,Extreme Fear                                      
63,1529971200000                                     ,21,6241.8486328125,Extreme Fear                                      
64,1530057600000                                     ,18,6069.87255859375,Extreme Fear                                      
65,1530144000000                                     ,20,6117.03662109375,Extreme Fear                                      
66,1530230400000                                     ,16,5879.98876953125,Extreme Fear                                      
67,1530316800000                                     ,22,6182.2568359375,Extreme Fear                                      
68,1530403200000                                     ,27,6366.49951171875,Fear                                              
69,1530489600000                                     ,27,6312.87744140625,Fear                                              
70,1530576000000                                     ,31,6595.54736328125,Fear                                              
71,1530662400000                                     ,33,6497.607421875,Fear                                              
72,1530748800000                                     ,37,6562.7216796875,Fear                                              
73,1530835200000                                     ,34,6537.74072265625,Fear                                              
74,1530921600000                                     ,34,6603.294921875,Fear                                              
75,1531008000000                                     ,38,6759.8359375,Fear                                              
76,1531094400000                                     ,39,6700.63525390625,Fear                                              
77,1531180800000                                     ,37,6648.2568359375,Fear                                              
78,1531267200000                                     ,29,6303.380859375,Fear                                              
79,1531353600000                                     ,33,6373.23486328125,Fear                                              
80,1531440000000                                     ,29,6230.59033203125,Fear                                              
81,1531526400000                                     ,29,6248.3974609375,Fear                                              
82,1531612800000                                     ,32,6246.13720703125,Fear                                              
83,1531699200000                                     ,36,6349.69580078125,Fear                                              
84,1531785600000                                     ,39,6741.69189453125,Fear                                              
85,1531872000000                                     ,42,7303.373046875,Fear                                              
86,1531958400000                                     ,44,7334.771484375,Fear                                              
87,1532044800000                                     ,47,7442.80078125,Neutral                                           
88,1532131200000                                     ,43,7331.87158203125,Fear                                              
89,1532217600000                                     ,46,7379.13720703125,Fear                                              
90,1532304000000                                     ,44,7395.8662109375,Fear                                              
91,1532390400000                                     ,49,7704.99560546875,Neutral                                           
92,1532476800000                                     ,54,8422.3740234375,Neutral                                           
93,1532563200000                                     ,53,8144.5537109375,Neutral                                           
94,1532649600000                                     ,47,7929.0791015625,Neutral                                           
95,1532736000000                                     ,54,8145.3330078125,Neutral                                           
96,1532822400000                                     ,54,8192.1357421875,Neutral                                           
97,1532908800000                                     ,53,8197.59375,Neutral                                           
98,1532995200000                                     ,48,8185.9208984375,Neutral                                           
99,1533081600000                                     ,39,7738.24951171875,Fear                                              
100,1533168000000                                     ,39,7612.30078125,Fear                                              
101,1533254400000                                     ,36,7540.63330078125,Fear                                              
102,1533340800000                                     ,31,7411.66650390625,Fear                                              
103,1533427200000                                     ,23,7009.01220703125,Extreme Fear                                      
104,1533513600000                                     ,25,7036.609375,Extreme Fear                                      
105,1533600000000                                     ,25,6926.11669921875,Extreme Fear                                      
106,1533686400000                                     ,23,6711.732421875,Extreme Fear                                      
107,1533772800000                                     ,19,6259.52783203125,Extreme Fear                                      
108,1533859200000                                     ,21,6531.25,Extreme Fear                                      
109,1533945600000                                     ,18,6166.59033203125,Extreme Fear                                      
110,1534032000000                                     ,18,6205.21826171875,Extreme Fear                                      
111,1534118400000                                     ,21,6318.4072265625,Extreme Fear                                      
112,1534204800000                                     ,16,6283.99609375,Extreme Fear                                      
