,timestamp,value,price,value_classification
0,1520294400000                                     ,59,11526.4208984375,Greed                                             
1,1520380800000                                     ,37,10727.7158203125,Fear                                              
2,1520467200000                                     ,39,9999.6826171875,Fear                                              
3,1520553600000                                     ,37,9420.8544921875,Fear                                              
4,1520640000000                                     ,39,9276.337890625,Fear                                              
5,1520726400000                                     ,40,8890.8662109375,Fear                                              
6,1520812800000                                     ,41,9512.4560546875,Fear                                              
7,1520899200000                                     ,41,9232.7060546875,Fear                                              
8,1520985600000                                     ,40,9216.53125,Fear                                              
9,1521072000000                                     ,32,8307.2236328125,Fear                                              
10,1521158400000                                     ,33,8359.365234375,Fear                                              
11,1521244800000                                     ,31,8520.0078125,Fear                                              
12,1521331200000                                     ,29,8063.40966796875,Fear                                              
13,1521417600000                                     ,29,8217.841796875,Fear                                              
14,1521504000000                                     ,37,8640.521484375,Fear                                              
15,1521590400000                                     ,36,8926.8203125,Fear                                              
16,1521676800000                                     ,36,8970.318359375,Fear                                              
17,1521763200000                                     ,28,8736.3857421875,Fear                                              
18,1521849600000                                     ,32,8824.5927734375,Fear                                              
19,1521936000000                                     ,30,8621.150390625,Fear                                              
20,1522022400000                                     ,31,8478.638671875,Fear                                              
21,1522108800000                                     ,24,8186.1962890625,Extreme Fear                                      
22,1522195200000                                     ,24,7836.76318359375,Extreme Fear                                      
23,1522281600000                                     ,18,7930.779296875,Extreme Fear                                      
24,1522368000000                                     ,12,7126.89501953125,Extreme Fear                                      
25,1522454400000                                     ,16,6897.2685546875,Extreme Fear                                      
26,1522540800000                                     ,16,6975.275390625,Extreme Fear                                      
27,1522627200000                                     ,11,6836.572265625,Extreme Fear                                      
28,1522713600000                                     ,22,7080.4169921875,Extreme Fear                                      
29,1522800000000                                     ,22,7464.35595703125,Extreme Fear                                      
30,1522886400000                                     ,17,6845.31591796875,Extreme Fear                                      
31,1522972800000                                     ,19,6855.42236328125,Extreme Fear                                      
32,1523059200000                                     ,20,6628.75439453125,Extreme Fear                                      
33,1523145600000                                     ,17,6884.47705078125,Extreme Fear                                      
34,1523232000000                                     ,21,6984.80908203125,Extreme Fear                                      
35,1523318400000                                     ,18,6778.49169921875,Extreme Fear                                      
36,1523404800000                                     ,20,6829.31640625,Extreme Fear                                      
37,1523491200000                                     ,18,6925.10205078125,Extreme Fear                                      
38,1523577600000                                     ,23,7836.39697265625,Extreme Fear                                      
39,1523923200000                                     ,26,8030.9990234375,Fear                                              
40,1524009600000                                     ,24,7873.6357421875,Extreme Fear                                      
41,1524096000000                                     ,25,8097.41845703125,Extreme Fear                                      
42,1524182400000                                     ,26,8277.4609375,Fear                                              
43,1524268800000                                     ,32,8499.4501953125,Fear                                              
44,1524355200000                                     ,31,8878.4287109375,Fear                                              
45,1524441600000                                     ,28,8769.01171875,Fear                                              
46,1524528000000                                     ,29,8881.3916015625,Fear                                              
47,1524614400000                                     ,64,9716.490234375,Greed                                             
48,1524700800000                                     ,47,8825.2021484375,Neutral                                           
49,1524787200000                                     ,55,9221.8681640625,Greed                                             
50,1524873600000                                     ,54,8940.380859375,Neutral                                           
51,1524960000000                                     ,61,9249.6591796875,Greed                                             
52,1525046400000                                     ,59,9325.62890625,Greed                                             
53,1525132800000                                     ,56,9198.189453125,Greed                                             
54,1525219200000                                     ,52,9024.3876953125,Neutral                                           
55,1525305600000                                     ,55,9122.6533203125,Greed                                             
56,1525392000000                                     ,56,9551.134765625,Greed                                             
