,date,prices,total_volumes,market_cap,value
0,04.02.18,8994.91486607664,3422042094.7330213,151507305722.97018,24
1,05.02.18,8315.51749143615,3337096341.0061126,140081544557.2351,11
2,06.02.18,6852.05270051491,5313588642.981379,115444836533.44771,8
3,07.02.18,7711.2203289411,9152685412.95559,129936854004.41661,36
4,08.02.18,7611.61027778882,4862232217.401406,128271617562.32497,30
5,09.02.18,8208.57208449673,3190753947.378832,138345016554.78464,44
6,10.02.18,8650.71675042998,2960039948.907384,145812043727.55478,54
7,11.02.18,8574.67763849023,3371677737.5319858,144544944416.7482,31
8,12.02.18,8168.63777979963,2806997176.95887,137716289625.30893,42
9,13.02.18,8911.3985742083,3069219870.565569,150256428069.51227,35
10,14.02.18,8518.26907619091,2551515988.2160945,143645913955.80325,55
11,15.02.18,9428.02560716167,3282094240.879327,159007423075.0244,71
12,16.02.18,10112.5801434467,4332356645.963475,170569769073.98798,67
13,17.02.18,10155.2770555258,3141038601.332415,171309236631.063,74
14,18.02.18,11006.647685962,3699819140.1747103,185692327611.28845,63
15,19.02.18,10523.429305801,4740378626.743881,177561296505.31497,67
16,20.02.18,11103.0900361497,3486171704.866562,187364222442.60483,74
17,21.02.18,11502.3770496396,4225354045.1790047,194121879194.2264,54
18,22.02.18,9973.59211951887,4574800113.397884,168362084194.4766,44
19,23.02.18,10032.863112314,4626064156.354444,169362253983.19455,39
20,24.02.18,10301.883609336,4009462976.493817,173922837770.0662,31
21,25.02.18,9742.62819006538,3465387501.6656966,164497574061.05917,33
22,26.02.18,9699.51718151529,2743650277.5619,163790896885.65796,37
23,27.02.18,10355.5781264856,3646748812.403751,174886939893.19846,44
24,28.02.18,10709.3884310463,3398119467.1062694,180884108725.43018,41
25,01.03.18,10346.664931035,3182259829.3149323,174778709347.89926,38
26,02.03.18,10859.5521943893,2892166041.0523987,183463718171.25656,47
27,03.03.18,11098.0758092511,3031487197.1333075,187514886761.3877,56
28,04.03.18,11356.0416016724,3019436740.238814,191899353575.24014,44
29,05.03.18,11286.6762891691,2580256309.470718,190747933122.93732,55
30,06.03.18,11526.4209302906,2693945511.0085077,194821583687.4345,59
31,07.03.18,10727.716249205,3618749298.786025,181342656441.09247,37
32,08.03.18,9999.68248604677,4896773758.150409,169056252057.66943,39
33,09.03.18,9420.85488958591,4028135943.9580393,159289105130.23843,37
34,10.03.18,9276.33759031006,5476476288.950579,156862284242.87494,39
35,11.03.18,8890.86580399612,3260891795.801318,150359761907.83084,40
36,12.03.18,9512.45611286134,3876612721.9476624,160888688653.47745,41
37,13.03.18,9232.70587979953,4019736166.690967,156177221215.63092,41
38,14.03.18,9216.53097626842,3628990704.0064235,155921695042.49033,40
39,15.03.18,8307.22338626638,4020163253.1929836,140553335048.27603,32
40,16.03.18,8359.36528334063,4571407139.639841,141449655895.93512,33
41,17.03.18,8520.00815917187,3070872383.1616874,144184737078.2775,31
42,18.03.18,8063.4097921227,2591898944.228953,136472702736.85979,29
43,19.03.18,8217.84219996114,4330642347.54297,139102798580.5772,29
